"District","District Code","Gender","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",76,14.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",140,28.6
"Amistad Academy District","=""2790013""","Female",101,18.7
"Amistad Academy District","=""2790013""","Male",166,32.7
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",98,8.7
"Ansonia School District","=""0020011""","Male",178,14.1
"Area Cooperative Educational Services","=""2440014""","Female",85,10.3
"Area Cooperative Educational Services","=""2440014""","Male",197,17.1
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",10,0.6
"Avon School District","=""0040011""","Male",50,3.0
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","*","*"
"Berlin School District","=""0070011""","Female",11,0.8
"Berlin School District","=""0070011""","Male",69,4.6
"Bethany School District","=""0080011""","Female","*","*"
"Bethany School District","=""0080011""","Male","N/A","N/A"
"Bethel School District","=""0090011""","Female",44,3.1
"Bethel School District","=""0090011""","Male",181,11.2
"Bloomfield School District","=""0110011""","Female",86,8.2
"Bloomfield School District","=""0110011""","Male",159,14.0
"Bolton School District","=""0120011""","Female",9,2.1
"Bolton School District","=""0120011""","Male",15,3.8
"Booker T. Washington Academy District","=""2950013""","Female","*","*"
"Booker T. Washington Academy District","=""2950013""","Male","*","*"
"Bozrah School District","=""0130011""","Female","*","*"
"Bozrah School District","=""0130011""","Male","*","*"
"Branford School District","=""0140011""","Female",42,2.9
"Branford School District","=""0140011""","Male",120,7.7
"Brass City Charter School District","=""2900013""","Female","*","*"
"Brass City Charter School District","=""2900013""","Male","*","*"
"Bridgeport Achievement First District","=""2850013""","Female",78,14.6
"Bridgeport Achievement First District","=""2850013""","Male",112,23.1
"Bridgeport School District","=""0150011""","Female",1109,10.9
"Bridgeport School District","=""0150011""","Male",2075,18.3
"Bristol School District","=""0170011""","Female",194,4.9
"Bristol School District","=""0170011""","Male",422,10.0
"Brookfield School District","=""0180011""","Female",22,1.7
"Brookfield School District","=""0180011""","Male",75,5.4
"Brooklyn School District","=""0190011""","Female",12,2.8
"Brooklyn School District","=""0190011""","Male",32,7.2
"Canaan School District","=""0210011""","Female","*","*"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","*","*"
"Canterbury School District","=""0220011""","Male","*","*"
"Canton School District","=""0230011""","Female",10,1.2
"Canton School District","=""0230011""","Male",32,4.1
"Capital Preparatory Harbor School Inc. District","=""2970013""","Female",24,20.9
"Capital Preparatory Harbor School Inc. District","=""2970013""","Male",40,30.8
"Capitol Region Education Council","=""2410014""","Female",331,8.1
"Capitol Region Education Council","=""2410014""","Male",494,11.4
"Chaplin School District","=""0240011""","Female","N/A","N/A"
"Chaplin School District","=""0240011""","Male","*","*"
"Cheshire School District","=""0250011""","Female",28,1.3
"Cheshire School District","=""0250011""","Male",108,4.8
"Chester School District","=""0260011""","Female","*","*"
"Chester School District","=""0260011""","Male","*","*"
"Clinton School District","=""0270011""","Female",17,1.9
"Clinton School District","=""0270011""","Male",55,5.9
"Colchester School District","=""0280011""","Female",18,1.4
"Colchester School District","=""0280011""","Male",78,6.2
"Colebrook School District","=""0290011""","Female","N/A","N/A"
"Colebrook School District","=""0290011""","Male","*","*"
"Columbia School District","=""0300011""","Female",7,3.3
"Columbia School District","=""0300011""","Male",10,4.3
"Common Ground High School District","=""2680013""","Female",8,9.9
"Common Ground High School District","=""2680013""","Male",9,8.3
"Connecticut Technical High School System","=""9000016""","Female",498,11.7
"Connecticut Technical High School System","=""9000016""","Male",867,14.1
"Cooperative Educational Services","=""2430014""","Female",8,2.3
"Cooperative Educational Services","=""2430014""","Male",36,7.1
"Cornwall School District","=""0310011""","Female","N/A","N/A"
"Cornwall School District","=""0310011""","Male","*","*"
"Coventry School District","=""0320011""","Female","*","*"
"Coventry School District","=""0320011""","Male","*","*"
"Cromwell School District","=""0330011""","Female",26,2.7
"Cromwell School District","=""0330011""","Male",90,8.7
"Danbury School District","=""0340011""","Female",317,5.7
"Danbury School District","=""0340011""","Male",658,11.0
"Darien School District","=""0350011""","Female",7,0.3
"Darien School District","=""0350011""","Male",46,1.8
"Deep River School District","=""0360011""","Female","*","*"
"Deep River School District","=""0360011""","Male","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Female","N/A","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","N/A","*"
"Derby School District","=""0370011""","Female",36,5.6
"Derby School District","=""0370011""","Male",127,16.3
"East Granby School District","=""0400011""","Female",6,1.4
"East Granby School District","=""0400011""","Male",34,7.7
"East Haddam School District","=""0410011""","Female",15,3.0
"East Haddam School District","=""0410011""","Male",26,4.9
"East Hampton School District","=""0420011""","Female","*","*"
"East Hampton School District","=""0420011""","Male","*","*"
"East Hartford School District","=""0430011""","Female",274,8.3
"East Hartford School District","=""0430011""","Male",536,15.0
"East Haven School District","=""0440011""","Female",74,5.2
"East Haven School District","=""0440011""","Male",198,12.7
"East Lyme School District","=""0450011""","Female",17,1.3
"East Lyme School District","=""0450011""","Male",46,3.1
"East Windsor School District","=""0470011""","Female",33,6.7
"East Windsor School District","=""0470011""","Male",64,11.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",12,5.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",36,17.9
"Eastford School District","=""0390011""","Female","*","*"
"Eastford School District","=""0390011""","Male","*","*"
"Easton School District","=""0460011""","Female","*","*"
"Easton School District","=""0460011""","Male","*","*"
"EdAdvance","=""2420014""","Female","N/A","N/A"
"EdAdvance","=""2420014""","Male","*","*"
"Ellington School District","=""0480011""","Female",30,2.3
"Ellington School District","=""0480011""","Male",135,9.9
"Elm City College Preparatory School District","=""2890013""","Female",53,13.9
"Elm City College Preparatory School District","=""2890013""","Male",65,19.3
"Elm City Montessori School District","=""2910013""","Female","N/A","N/A"
"Elm City Montessori School District","=""2910013""","Male",6,8.5
"Enfield School District","=""0490011""","Female",113,4.4
"Enfield School District","=""0490011""","Male",289,10.6
"Essex School District","=""0500011""","Female","N/A","N/A"
"Essex School District","=""0500011""","Male","*","*"
"Explorations District","=""2720013""","Female",8,14.3
"Explorations District","=""2720013""","Male",7,23.3
"Fairfield School District","=""0510011""","Female",37,0.8
"Fairfield School District","=""0510011""","Male",169,3.3
"Farmington School District","=""0520011""","Female",11,0.6
"Farmington School District","=""0520011""","Male",41,1.9
"Franklin School District","=""0530011""","Female","*","*"
"Franklin School District","=""0530011""","Male","*","*"
"Glastonbury School District","=""0540011""","Female",27,0.9
"Glastonbury School District","=""0540011""","Male",111,3.7
"Granby School District","=""0560011""","Female",10,1.1
"Granby School District","=""0560011""","Male",66,7.0
"Great Oaks Charter School District","=""2940013""","Female",38,26.4
"Great Oaks Charter School District","=""2940013""","Male",81,49.1
"Greenwich School District","=""0570011""","Female",38,0.9
"Greenwich School District","=""0570011""","Male",98,2.1
