"District","District Code","Gender","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",36,18.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",99,41.1
"Amistad Academy District","=""2790013""","Female",45,12.3
"Amistad Academy District","=""2790013""","Male",82,23.6
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male","N/A","N/A"
"Ansonia School District","=""0020011""","Female",96,7.3
"Ansonia School District","=""0020011""","Male",184,12.7
"Area Cooperative Educational Services","=""2440014""","Female",126,14.4
"Area Cooperative Educational Services","=""2440014""","Male",293,23.6
"Ashford School District","=""0030011""","Female","N/A","N/A"
"Ashford School District","=""0030011""","Male",9,3.5
"Avon School District","=""0040011""","Female",13,0.7
"Avon School District","=""0040011""","Male",74,4.0
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","*","*"
"Berlin School District","=""0070011""","Female",54,3.6
"Berlin School District","=""0070011""","Male",163,9.7
"Bethany School District","=""0080011""","Female","N/A","N/A"
"Bethany School District","=""0080011""","Male","*","*"
"Bethel School District","=""0090011""","Female",79,5.2
"Bethel School District","=""0090011""","Male",140,9.0
"Bloomfield School District","=""0110011""","Female",108,10.0
"Bloomfield School District","=""0110011""","Male",215,17.6
"Bolton School District","=""0120011""","Female",8,1.7
"Bolton School District","=""0120011""","Male",18,4.2
"Bozrah School District","=""0130011""","Female","N/A","N/A"
"Bozrah School District","=""0130011""","Male","*","*"
"Branford School District","=""0140011""","Female",79,4.5
"Branford School District","=""0140011""","Male",175,9.8
"Bridgeport Achievement First District","=""2850013""","Female",8,6.8
"Bridgeport Achievement First District","=""2850013""","Male",24,22.9
"Bridgeport School District","=""0150011""","Female",1205,12.2
"Bridgeport School District","=""0150011""","Male",2299,21.6
"Bristol School District","=""0170011""","Female",185,4.4
"Bristol School District","=""0170011""","Male",431,9.4
"Brookfield School District","=""0180011""","Female",12,0.8
"Brookfield School District","=""0180011""","Male",40,2.7
"Brooklyn School District","=""0190011""","Female",10,2.1
"Brooklyn School District","=""0190011""","Male",37,7.4
"Canaan School District","=""0210011""","Female","N/A","N/A"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","*","*"
"Canterbury School District","=""0220011""","Male","*","*"
"Canton School District","=""0230011""","Female",7,0.8
"Canton School District","=""0230011""","Male",38,4.1
"Capitol Region Education Council","=""2410014""","Female",179,9.8
"Capitol Region Education Council","=""2410014""","Male",294,14.3
"Chaplin School District","=""0240011""","Female","N/A","N/A"
"Chaplin School District","=""0240011""","Male","N/A","N/A"
"Charter School for Young Children on Asylum Hill District","=""2870013""","Female","N/A","N/A"
"Charter School for Young Children on Asylum Hill District","=""2870013""","Male","N/A","N/A"
"Cheshire School District","=""0250011""","Female",39,1.6
"Cheshire School District","=""0250011""","Male",110,4.3
"Chester School District","=""0260011""","Female","*","*"
"Chester School District","=""0260011""","Male","*","*"
"Clinton School District","=""0270011""","Female",35,3.5
"Clinton School District","=""0270011""","Male",94,9.1
"Colchester School District","=""0280011""","Female",56,3.6
