"District","District Code","Gender","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","Female",63,10.8
"Achievement First Bridgeport Academy District","=""2850013""","Male",97,18.9
"Achievement First Hartford Academy District","=""2880013""","Female",39,6.5
"Achievement First Hartford Academy District","=""2880013""","Male",54,10.4
"Amistad Academy District","=""2790013""","Female",52,9.1
"Amistad Academy District","=""2790013""","Male",111,21.6
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male",8,7.6
"Ansonia School District","=""0020011""","Female",115,10.0
"Ansonia School District","=""0020011""","Male",228,17.3
"Area Cooperative Educational Services","=""2440014""","Female",87,10.4
"Area Cooperative Educational Services","=""2440014""","Male",237,20.4
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",22,1.4
"Avon School District","=""0040011""","Male",60,3.7
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","*","*"
"Berlin School District","=""0070011""","Female",32,2.3
"Berlin School District","=""0070011""","Male",104,7.0
"Bethany School District","=""0080011""","Female","N/A","N/A"
"Bethany School District","=""0080011""","Male",6,3.3
"Bethel School District","=""0090011""","Female",43,2.9
"Bethel School District","=""0090011""","Male",150,8.8
"Bloomfield School District","=""0110011""","Female",101,9.0
"Bloomfield School District","=""0110011""","Male",182,15.8
"Bolton School District","=""0120011""","Female",7,1.7
"Bolton School District","=""0120011""","Male",17,4.2
"Booker T. Washington Academy District","=""2950013""","Female","*","*"
"Booker T. Washington Academy District","=""2950013""","Male","*","*"
"Bozrah School District","=""0130011""","Female","N/A","N/A"
"Bozrah School District","=""0130011""","Male","*","*"
"Branford School District","=""0140011""","Female",51,3.5
"Branford School District","=""0140011""","Male",119,7.9
"Brass City Charter School District","=""2900013""","Female","*","*"
"Brass City Charter School District","=""2900013""","Male","*","*"
"Bridgeport School District","=""0150011""","Female",987,9.4
"Bridgeport School District","=""0150011""","Male",1676,14.5
"Bristol School District","=""0170011""","Female","*","*"
"Bristol School District","=""0170011""","Male",533,12.4
"Brookfield School District","=""0180011""","Female",25,1.9
"Brookfield School District","=""0180011""","Male",89,6.5
"Brooklyn School District","=""0190011""","Female","*","*"
"Brooklyn School District","=""0190011""","Male","*","*"
"Canaan School District","=""0210011""","Female","N/A","N/A"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","N/A","N/A"
"Canterbury School District","=""0220011""","Male","*","*"
