"District","District Code","Gender","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","Female",54,10.2
"Achievement First Bridgeport Academy District","=""2850013""","Male",98,19.7
"Achievement First Hartford Academy District","=""2880013""","Female",52,9.3
"Achievement First Hartford Academy District","=""2880013""","Male",80,15.1
"Amistad Academy District","=""2790013""","Female",73,13.4
"Amistad Academy District","=""2790013""","Male",126,24.7
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",79,6.9
"Ansonia School District","=""0020011""","Male",172,13.8
"Area Cooperative Educational Services","=""2440014""","Female",73,9.0
"Area Cooperative Educational Services","=""2440014""","Male",187,16.4
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",22,1.4
"Avon School District","=""0040011""","Male",78,4.8
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","N/A","N/A"
"Berlin School District","=""0070011""","Female",7,0.5
"Berlin School District","=""0070011""","Male",91,6.3
"Bethany School District","=""0080011""","Female","N/A","N/A"
"Bethany School District","=""0080011""","Male","*","*"
"Bethel School District","=""0090011""","Female",56,3.9
"Bethel School District","=""0090011""","Male",165,9.9
"Bloomfield School District","=""0110011""","Female",81,7.7
"Bloomfield School District","=""0110011""","Male",159,14.1
"Bolton School District","=""0120011""","Female",12,2.9
"Bolton School District","=""0120011""","Male",18,4.6
"Booker T. Washington Academy District","=""2950013""","Female","N/A","N/A"
"Booker T. Washington Academy District","=""2950013""","Male","*","*"
"Bozrah School District","=""0130011""","Female","N/A","N/A"
"Bozrah School District","=""0130011""","Male","*","*"
"Branford School District","=""0140011""","Female",52,3.6
"Branford School District","=""0140011""","Male",119,7.9
"Brass City Charter School District","=""2900013""","Female","*","*"
"Brass City Charter School District","=""2900013""","Male","*","*"
"Bridgeport School District","=""0150011""","Female",974,9.6
"Bridgeport School District","=""0150011""","Male",1940,17.3
"Bristol School District","=""0170011""","Female",177,4.5
"Bristol School District","=""0170011""","Male",485,11.6
"Brookfield School District","=""0180011""","Female",20,1.5
