"District","District Code","Gender","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",85,20.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",171,38.5
"Amistad Academy District","=""2790013""","Female",132,28.6
"Amistad Academy District","=""2790013""","Male",203,43.7
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",52,4.7
"Ansonia School District","=""0020011""","Male",143,11.3
"Area Cooperative Educational Services","=""2440014""","Female",84,10.4
"Area Cooperative Educational Services","=""2440014""","Male",188,15.9
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",20,1.2
"Avon School District","=""0040011""","Male",50,3.0
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","*","*"
"Berlin School District","=""0070011""","Female",28,2.0
"Berlin School District","=""0070011""","Male",78,4.9
"Bethany School District","=""0080011""","Female","N/A","N/A"
"Bethany School District","=""0080011""","Male","*","*"
"Bethel School District","=""0090011""","Female",63,4.3
"Bethel School District","=""0090011""","Male",139,8.9
"Bloomfield School District","=""0110011""","Female",88,8.6
"Bloomfield School District","=""0110011""","Male",202,18.7
"Bolton School District","=""0120011""","Female",6,1.4
"Bolton School District","=""0120011""","Male",20,4.5
"Bozrah School District","=""0130011""","Female","N/A","N/A"
"Bozrah School District","=""0130011""","Male",7,5.5
"Branford School District","=""0140011""","Female",50,3.2
"Branford School District","=""0140011""","Male",148,8.7
"Brass City Charter School District","=""2900013""","Female","N/A","N/A"
"Brass City Charter School District","=""2900013""","Male","N/A","N/A"
"Bridgeport Achievement First District","=""2850013""","Female",95,23.2
"Bridgeport Achievement First District","=""2850013""","Male",148,36.0
"Bridgeport School District","=""0150011""","Female",1130,11.2
"Bridgeport School District","=""0150011""","Male",2251,20.2
"Bristol School District","=""0170011""","Female",204,5.1
"Bristol School District","=""0170011""","Male",528,12.1
"Brookfield School District","=""0180011""","Female",17,1.2
"Brookfield School District","=""0180011""","Male",55,3.9
"Brooklyn School District","=""0190011""","Female",9,2.0
"Brooklyn School District","=""0190011""","Male",39,8.0
"Canaan School District","=""0210011""","Female","*","*"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","N/A","N/A"
"Canterbury School District","=""0220011""","Male",20,7.5
"Canton School District","=""0230011""","Female","*","*"
"Canton School District","=""0230011""","Male","*","*"
"Capitol Region Education Council","=""2410014""","Female",256,7.4
"Capitol Region Education Council","=""2410014""","Male",366,10.2
"Chaplin School District","=""0240011""","Female","*","*"
"Chaplin School District","=""0240011""","Male","N/A","N/A"
"Cheshire School District","=""0250011""","Female",32,1.4
"Cheshire School District","=""0250011""","Male",89,3.7
"Chester School District","=""0260011""","Female","N/A","N/A"
"Chester School District","=""0260011""","Male","*","*"
"Clinton School District","=""0270011""","Female",29,3.0
"Clinton School District","=""0270011""","Male",74,7.4
"Colchester School District","=""0280011""","Female",31,2.2
"Colchester School District","=""0280011""","Male",86,6.1
"Colebrook School District","=""0290011""","Female","N/A","N/A"
"Colebrook School District","=""0290011""","Male","*","*"
"Columbia School District","=""0300011""","Female","*","*"
"Columbia School District","=""0300011""","Male","*","*"
"Common Ground High School District","=""2680013""","Female","*","*"
"Common Ground High School District","=""2680013""","Male","*","*"
"Connecticut Technical High School System","=""9000016""","Female",559,13.5
"Connecticut Technical High School System","=""9000016""","Male",1157,18.0
"Cooperative Educational Services","=""2430014""","Female",6,1.8
"Cooperative Educational Services","=""2430014""","Male",33,6.4
"Cornwall School District","=""0310011""","Female","N/A","N/A"
"Cornwall School District","=""0310011""","Male","N/A","N/A"
"Coventry School District","=""0320011""","Female",18,2.1
"Coventry School District","=""0320011""","Male",58,6.7
"Cromwell School District","=""0330011""","Female",41,4.3
"Cromwell School District","=""0330011""","Male",99,9.5
"Danbury School District","=""0340011""","Female",294,5.5
"Danbury School District","=""0340011""","Male",637,11.4
"Darien School District","=""0350011""","Female","*","*"
"Darien School District","=""0350011""","Male","*","*"
"Deep River School District","=""0360011""","Female","*","*"
"Deep River School District","=""0360011""","Male","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Female","N/A","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","N/A","*"
"Derby School District","=""0370011""","Female",61,8.0
"Derby School District","=""0370011""","Male",124,16.1
"East Granby School District","=""0400011""","Female",6,1.5
"East Granby School District","=""0400011""","Male",26,5.6
"East Haddam School District","=""0410011""","Female","N/A","N/A"
"East Haddam School District","=""0410011""","Male","N/A","N/A"
"East Hampton School District","=""0420011""","Female",17,1.8
"East Hampton School District","=""0420011""","Male",54,5.7
"East Hartford School District","=""0430011""","Female",405,11.7
"East Hartford School District","=""0430011""","Male",823,22.0
"East Haven School District","=""0440011""","Female",74,4.9
"East Haven School District","=""0440011""","Male",156,9.6
"East Lyme School District","=""0450011""","Female",21,1.5
"East Lyme School District","=""0450011""","Male",59,4.0
"East Windsor School District","=""0470011""","Female",45,7.6
"East Windsor School District","=""0470011""","Male",88,14.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female","N/A","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male","N/A","N/A"
"Eastford School District","=""0390011""","Female","*","*"
"Eastford School District","=""0390011""","Male","*","*"
"Easton School District","=""0460011""","Female","N/A","N/A"
"Easton School District","=""0460011""","Male",21,4.1
"Education Connection","=""2420014""","Female","*","*"
"Education Connection","=""2420014""","Male","*","*"
"Ellington School District","=""0480011""","Female",27,2.1
"Ellington School District","=""0480011""","Male",93,6.9
"Elm City College Preparatory School District","=""2890013""","Female",83,24.0
"Elm City College Preparatory School District","=""2890013""","Male",93,33.3
"Enfield School District","=""0490011""","Female",105,4.1
"Enfield School District","=""0490011""","Male",349,12.8
"Essex School District","=""0500011""","Female","N/A","N/A"
"Essex School District","=""0500011""","Male",6,2.2
"Explorations District","=""2720013""","Female",8,21.1
"Explorations District","=""2720013""","Male",15,34.9
"Fairfield School District","=""0510011""","Female",43,0.9
"Fairfield School District","=""0510011""","Male",163,3.1
"Farmington School District","=""0520011""","Female",13,0.7
"Farmington School District","=""0520011""","Male",66,3.1
"Franklin School District","=""0530011""","Female","N/A","N/A"
"Franklin School District","=""0530011""","Male",8,8.1
"Glastonbury School District","=""0540011""","Female",29,0.9
"Glastonbury School District","=""0540011""","Male",99,3.1
"Granby School District","=""0560011""","Female",9,0.9
"Granby School District","=""0560011""","Male",39,3.7
"Greenwich School District","=""0570011""","Female",39,0.9
"Greenwich School District","=""0570011""","Male",72,1.6
"Griswold School District","=""0580011""","Female",57,5.9
"Griswold School District","=""0580011""","Male",108,10.4
"Groton School District","=""0590011""","Female",75,3.3
"Groton School District","=""0590011""","Male",242,10.0
"Guilford School District","=""0600011""","Female",12,0.7
"Guilford School District","=""0600011""","Male",71,3.9
"Hamden School District","=""0620011""","Female",158,5.7
"Hamden School District","=""0620011""","Male",413,13.3
"Hampton School District","=""0630011""","Female","N/A","N/A"
"Hampton School District","=""0630011""","Male","N/A","N/A"
"Hartford School District","=""0640011""","Female",1342,12.8
"Hartford School District","=""0640011""","Male",2443,21.5
"Hartland School District","=""0650011""","Female","N/A","N/A"
"Hartland School District","=""0650011""","Male","*","*"
"Hebron School District","=""0670011""","Female","N/A","N/A"
"Hebron School District","=""0670011""","Male","*","*"
"Highville Charter School District","=""2860013""","Female",12,6.7
"Highville Charter School District","=""2860013""","Male",13,7.5
"Integrated Day Charter School District","=""2640013""","Female",7,4.3
"Integrated Day Charter School District","=""2640013""","Male",13,8.0
"Interdistrict School for Arts and Comm District","=""2650013""","Female",16,12.3
"Interdistrict School for Arts and Comm District","=""2650013""","Male",18,17.6
"Jumoke Academy District","=""2610013""","Female",19,5.0
"Jumoke Academy District","=""2610013""","Male",45,14.4
"Kent School District","=""0680011""","Female","N/A","N/A"
"Kent School District","=""0680011""","Male","N/A","N/A"
"Killingly School District","=""0690011""","Female",78,5.9
"Killingly School District","=""0690011""","Male",171,12.9
"Learn","=""2450014""","Female",40,3.8
"Learn","=""2450014""","Male",67,6.6
"Lebanon School District","=""0710011""","Female","*","*"
"Lebanon School District","=""0710011""","Male","*","*"
"Ledyard School District","=""0720011""","Female",21,1.6
"Ledyard School District","=""0720011""","Male",94,7.2
"Lisbon School District","=""0730011""","Female","*","*"
"Lisbon School District","=""0730011""","Male","*","*"
"Litchfield School District","=""0740011""","Female",7,1.4
"Litchfield School District","=""0740011""","Male",37,7.2
"Madison School District","=""0760011""","Female",12,0.8
"Madison School District","=""0760011""","Male",31,1.8
"Manchester School District","=""0770011""","Female",219,7.2
"Manchester School District","=""0770011""","Male",410,12.4
"Mansfield School District","=""0780011""","Female","*","*"
"Mansfield School District","=""0780011""","Male","*","*"
"Marlborough School District","=""0790011""","Female","*","*"
"Marlborough School District","=""0790011""","Male","*","*"
"Meriden School District","=""0800011""","Female",303,7.7
"Meriden School District","=""0800011""","Male",573,13.4
"Middletown School District","=""0830011""","Female",105,4.4
"Middletown School District","=""0830011""","Male",230,9.2
"Milford School District","=""0840011""","Female",86,2.8
"Milford School District","=""0840011""","Male",246,7.2
"Monroe School District","=""0850011""","Female",7,0.4
"Monroe School District","=""0850011""","Male",41,2.3
"Montville School District","=""0860011""","Female",25,2.1
"Montville School District","=""0860011""","Male",90,7.2
"Naugatuck School District","=""0880011""","Female",93,4.6
"Naugatuck School District","=""0880011""","Male",283,12.1
"New Beginnings Inc., Family Academy District","=""2800013""","Female",33,16.6
"New Beginnings Inc., Family Academy District","=""2800013""","Male",54,27.7
"New Britain School District","=""0890011""","Female",692,14.5
"New Britain School District","=""0890011""","Male",1317,24.2
"New Canaan School District","=""0900011""","Female",7,0.3
"New Canaan School District","=""0900011""","Male",20,0.9
"New Fairfield School District","=""0910011""","Female",36,2.8
"New Fairfield School District","=""0910011""","Male",53,3.7
"New Hartford School District","=""0920011""","Female","*","*"
"New Hartford School District","=""0920011""","Male","*","*"
"New Haven School District","=""0930011""","Female",533,5.0
"New Haven School District","=""0930011""","Male",1082,9.9
"New London School District","=""0950011""","Female",187,13.0
"New London School District","=""0950011""","Male",430,25.0
"New Milford School District","=""0960011""","Female",61,2.8
"New Milford School District","=""0960011""","Male",188,8.0
"Newington School District","=""0940011""","Female",78,3.7
"Newington School District","=""0940011""","Male",197,9.1
"Newtown School District","=""0970011""","Female",21,0.9
"Newtown School District","=""0970011""","Male",81,3.2
"Norfolk School District","=""0980011""","Female","N/A","N/A"
"Norfolk School District","=""0980011""","Male","N/A","N/A"
"North Branford School District","=""0990011""","Female",29,2.9
"North Branford School District","=""0990011""","Male",85,8.2
"North Canaan School District","=""1000011""","Female","N/A","N/A"
"North Canaan School District","=""1000011""","Male",8,5.5
"North Haven School District","=""1010011""","Female",32,1.9
"North Haven School District","=""1010011""","Male",70,4.0
"North Stonington School District","=""1020011""","Female",8,2.2
"North Stonington School District","=""1020011""","Male",24,6.0
"Norwalk School District","=""1030011""","Female",218,4.0
"Norwalk School District","=""1030011""","Male",486,8.3
"Norwich Free Academy District","=""9010022""","Female",128,10.4
"Norwich Free Academy District","=""9010022""","Male",187,17.1
"Norwich School District","=""1040011""","Female",77,4.2
"Norwich School District","=""1040011""","Male",209,10.6
"Odyssey Community School District","=""2630013""","Female","*","*"
"Odyssey Community School District","=""2630013""","Male","*","*"
"Old Saybrook School District","=""1060011""","Female",9,1.2
"Old Saybrook School District","=""1060011""","Male",25,3.5
"Orange School District","=""1070011""","Female","*","*"
"Orange School District","=""1070011""","Male","*","*"
"Oxford School District","=""1080011""","Female",10,1.0
"Oxford School District","=""1080011""","Male",33,3.2
"Park City Prep Charter School District","=""2830013""","Female",12,9.0
"Park City Prep Charter School District","=""2830013""","Male",26,21.0
"Plainfield School District","=""1090011""","Female",33,2.7
"Plainfield School District","=""1090011""","Male",141,11.4
"Plainville School District","=""1100011""","Female",20,1.7
"Plainville School District","=""1100011""","Male",69,5.7
"Plymouth School District","=""1110011""","Female",14,1.9
"Plymouth School District","=""1110011""","Male",45,5.3
"Pomfret School District","=""1120011""","Female","N/A","N/A"
"Pomfret School District","=""1120011""","Male",6,2.7
"Portland School District","=""1130011""","Female",14,2.0
"Portland School District","=""1130011""","Male",38,5.5
"Preston School District","=""1140011""","Female","*","*"
"Preston School District","=""1140011""","Male","*","*"
"Putnam School District","=""1160011""","Female",15,2.5
"Putnam School District","=""1160011""","Male",74,11.0
"Redding School District","=""1170011""","Female","*","*"
"Redding School District","=""1170011""","Male","*","*"
"Regional School District 01","=""2010012""","Female",7,3.1
"Regional School District 01","=""2010012""","Male",28,14.0
"Regional School District 04","=""2040012""","Female",11,2.2
"Regional School District 04","=""2040012""","Male",29,6.1
"Regional School District 05","=""2050012""","Female",13,1.1
"Regional School District 05","=""2050012""","Male",67,5.5
"Regional School District 06","=""2060012""","Female",7,1.4
"Regional School District 06","=""2060012""","Male",57,11.6
"Regional School District 07","=""2070012""","Female",11,1.9
"Regional School District 07","=""2070012""","Male",64,11.6
"Regional School District 08","=""2080012""","Female",27,3.3
"Regional School District 08","=""2080012""","Male",86,9.4
"Regional School District 09","=""2090012""","Female",6,1.1
"Regional School District 09","=""2090012""","Male",9,1.7
"Regional School District 10","=""2100012""","Female",11,0.9
"Regional School District 10","=""2100012""","Male",77,5.7
"Regional School District 11","=""2110012""","Female",7,5.0
"Regional School District 11","=""2110012""","Male",28,17.8
"Regional School District 12","=""2120012""","Female",9,2.2
"Regional School District 12","=""2120012""","Male",30,7.4
"Regional School District 13","=""2130012""","Female","*","*"
"Regional School District 13","=""2130012""","Male","*","*"
"Regional School District 14","=""2140012""","Female",14,1.4
"Regional School District 14","=""2140012""","Male",25,2.8
"Regional School District 15","=""2150012""","Female",33,1.7
"Regional School District 15","=""2150012""","Male",71,3.4
"Regional School District 16","=""2160012""","Female",16,1.3
"Regional School District 16","=""2160012""","Male",74,6.3
