"District","District Code","Gender","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",101,29.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",187,45.8
"Amistad Academy District","=""2790013""","Female",71,17.0
"Amistad Academy District","=""2790013""","Male",129,30.1
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",81,6.5
"Ansonia School District","=""0020011""","Male",159,11.9
"Area Cooperative Educational Services","=""2440014""","Female",69,8.6
"Area Cooperative Educational Services","=""2440014""","Male",233,19.7
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",22,1.3
"Avon School District","=""0040011""","Male",41,2.3
"Barkhamsted School District","=""0050011""","Female","*","*"
"Barkhamsted School District","=""0050011""","Male","N/A","N/A"
"Berlin School District","=""0070011""","Female",47,3.3
"Berlin School District","=""0070011""","Male",117,7.4
"Bethany School District","=""0080011""","Female","*","*"
"Bethany School District","=""0080011""","Male","*","*"
"Bethel School District","=""0090011""","Female",71,4.9
"Bethel School District","=""0090011""","Male",125,7.9
"Bloomfield School District","=""0110011""","Female",86,8.3
"Bloomfield School District","=""0110011""","Male",194,17.4
"Bolton School District","=""0120011""","Female",7,1.5
"Bolton School District","=""0120011""","Male",17,3.9
"Bozrah School District","=""0130011""","Female","*","*"
"Bozrah School District","=""0130011""","Male","*","*"
"Branford School District","=""0140011""","Female",58,3.5
"Branford School District","=""0140011""","Male",143,8.5
"Bridgeport Achievement First District","=""2850013""","Female",65,26.3
"Bridgeport Achievement First District","=""2850013""","Male",104,36.9
"Bridgeport School District","=""0150011""","Female",1406,14.1
"Bridgeport School District","=""0150011""","Male",2381,22.2
"Bristol School District","=""0170011""","Female",220,5.4
"Bristol School District","=""0170011""","Male",500,11.3
"Brookfield School District","=""0180011""","Female",29,2.0
"Brookfield School District","=""0180011""","Male",61,4.3
"Brooklyn School District","=""0190011""","Female",15,3.4
"Brooklyn School District","=""0190011""","Male",53,10.8
"Canaan School District","=""0210011""","Female","N/A","N/A"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","*","*"
"Canterbury School District","=""0220011""","Male","*","*"
"Canton School District","=""0230011""","Female",18,2.0
"Canton School District","=""0230011""","Male",31,3.5
"Capitol Region Education Council","=""2410014""","Female",125,4.7
"Capitol Region Education Council","=""2410014""","Male",187,6.7
"Chaplin School District","=""0240011""","Female","N/A","N/A"
"Chaplin School District","=""0240011""","Male","*","*"
"Cheshire School District","=""0250011""","Female",34,1.4
"Cheshire School District","=""0250011""","Male",97,3.9
"Chester School District","=""0260011""","Female","N/A","N/A"
"Chester School District","=""0260011""","Male","*","*"
"Clinton School District","=""0270011""","Female",32,3.3
