"District","FIPS","Year","Gender","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2009-2010","Female","Suspensions","Percent","6.8"
"Achievement First Bridgeport Academy District","","2009-2010","Male","Suspensions","Percent","22.9"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Suspensions","Percent","31.1"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Suspensions","Percent","46.1"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Suspensions","Percent","26.3"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Suspensions","Percent","36.9"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Suspensions","Percent","16.5"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Suspensions","Percent","20.9"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Suspensions","Percent","23.2"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Suspensions","Percent","36.0"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Suspensions","Percent","23.7"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Suspensions","Percent","38.6"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Suspensions","Percent","17.8"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Suspensions","Percent","29.7"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Suspensions","Percent","14.6"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Suspensions","Percent","23.1"
"Achievement First Bridgeport Academy District","","2017-2018","Female","Suspensions","Percent","10.2"
"Achievement First Bridgeport Academy District","","2017-2018","Male","Suspensions","Percent","19.7"
"Achievement First Bridgeport Academy District","","2018-2019","Female","Suspensions","Percent","10.8"
"Achievement First Bridgeport Academy District","","2018-2019","Male","Suspensions","Percent","18.9"
"Achievement First Bridgeport Academy District","","2019-2020","Female","Suspensions","Percent","7.3"
"Achievement First Bridgeport Academy District","","2019-2020","Male","Suspensions","Percent","10.8"
"Achievement First Hartford Academy District","","2009-2010","Female","Suspensions","Percent","18.7"
"Achievement First Hartford Academy District","","2009-2010","Male","Suspensions","Percent","41.1"
"Achievement First Hartford Academy District","","2010-2011","Female","Suspensions","Percent","24.9"
"Achievement First Hartford Academy District","","2010-2011","Male","Suspensions","Percent","37.4"
"Achievement First Hartford Academy District","","2011-2012","Female","Suspensions","Percent","29.2"
"Achievement First Hartford Academy District","","2011-2012","Male","Suspensions","Percent","45.8"
"Achievement First Hartford Academy District","","2012-2013","Female","Suspensions","Percent","37.0"
"Achievement First Hartford Academy District","","2012-2013","Male","Suspensions","Percent","57.8"
"Achievement First Hartford Academy District","","2013-2014","Female","Suspensions","Percent","20.7"
"Achievement First Hartford Academy District","","2013-2014","Male","Suspensions","Percent","38.5"
"Achievement First Hartford Academy District","","2014-2015","Female","Suspensions","Percent","22.3"
"Achievement First Hartford Academy District","","2014-2015","Male","Suspensions","Percent","36.2"
"Achievement First Hartford Academy District","","2015-2016","Female","Suspensions","Percent","17.7"
"Achievement First Hartford Academy District","","2015-2016","Male","Suspensions","Percent","29.9"
"Achievement First Hartford Academy District","","2016-2017","Female","Suspensions","Percent","14.2"
"Achievement First Hartford Academy District","","2016-2017","Male","Suspensions","Percent","28.6"
"Achievement First Hartford Academy District","","2017-2018","Female","Suspensions","Percent","9.3"
"Achievement First Hartford Academy District","","2017-2018","Male","Suspensions","Percent","15.1"
"Achievement First Hartford Academy District","","2018-2019","Female","Suspensions","Percent","6.5"
"Achievement First Hartford Academy District","","2018-2019","Male","Suspensions","Percent","10.4"
"Achievement First Hartford Academy District","","2019-2020","Female","Suspensions","Percent","6.0"
"Achievement First Hartford Academy District","","2019-2020","Male","Suspensions","Percent","10.5"
"Amistad Academy District","","2009-2010","Female","Suspensions","Percent","12.3"
"Amistad Academy District","","2009-2010","Male","Suspensions","Percent","23.6"
"Amistad Academy District","","2010-2011","Female","Suspensions","Percent","15.5"
"Amistad Academy District","","2010-2011","Male","Suspensions","Percent","26.3"
"Amistad Academy District","","2011-2012","Female","Suspensions","Percent","17.0"
"Amistad Academy District","","2011-2012","Male","Suspensions","Percent","30.1"
"Amistad Academy District","","2012-2013","Female","Suspensions","Percent","30.1"
"Amistad Academy District","","2012-2013","Male","Suspensions","Percent","42.8"
"Amistad Academy District","","2013-2014","Female","Suspensions","Percent","28.6"
"Amistad Academy District","","2013-2014","Male","Suspensions","Percent","43.7"
"Amistad Academy District","","2014-2015","Female","Suspensions","Percent","25.3"
"Amistad Academy District","","2014-2015","Male","Suspensions","Percent","38.6"
"Amistad Academy District","","2015-2016","Female","Suspensions","Percent","21.1"
"Amistad Academy District","","2015-2016","Male","Suspensions","Percent","35.2"
"Amistad Academy District","","2016-2017","Female","Suspensions","Percent","18.7"
"Amistad Academy District","","2016-2017","Male","Suspensions","Percent","32.7"
"Amistad Academy District","","2017-2018","Female","Suspensions","Percent","13.4"
"Amistad Academy District","","2017-2018","Male","Suspensions","Percent","24.7"
"Amistad Academy District","","2018-2019","Female","Suspensions","Percent","9.1"
"Amistad Academy District","","2018-2019","Male","Suspensions","Percent","21.6"
"Amistad Academy District","","2019-2020","Female","Suspensions","Percent","7.2"
"Amistad Academy District","","2019-2020","Male","Suspensions","Percent","10.2"
"Andover School District","","2009-2010","Female","Suspensions","Percent","-6666"
"Andover School District","","2009-2010","Male","Suspensions","Percent","-6666"
"Andover School District","","2010-2011","Female","Suspensions","Percent","-9999"
"Andover School District","","2010-2011","Male","Suspensions","Percent","-9999"
"Andover School District","","2011-2012","Female","Suspensions","Percent","-6666"
"Andover School District","","2011-2012","Male","Suspensions","Percent","-9999"
"Andover School District","","2012-2013","Female","Suspensions","Percent","-6666"
"Andover School District","","2012-2013","Male","Suspensions","Percent","-9999"
"Andover School District","","2013-2014","Female","Suspensions","Percent","-6666"
"Andover School District","","2013-2014","Male","Suspensions","Percent","-9999"
"Andover School District","","2014-2015","Female","Suspensions","Percent","-9999"
"Andover School District","","2014-2015","Male","Suspensions","Percent","-9999"
"Andover School District","","2015-2016","Female","Suspensions","Percent","-6666"
"Andover School District","","2015-2016","Male","Suspensions","Percent","-9999"
"Andover School District","","2016-2017","Female","Suspensions","Percent","-6666"
"Andover School District","","2016-2017","Male","Suspensions","Percent","-9999"
"Andover School District","","2017-2018","Female","Suspensions","Percent","-6666"
"Andover School District","","2017-2018","Male","Suspensions","Percent","-9999"
"Andover School District","","2018-2019","Female","Suspensions","Percent","-6666"
"Andover School District","","2018-2019","Male","Suspensions","Percent","7.6"
"Andover School District","","2019-2020","Female","Suspensions","Percent","-6666"
"Andover School District","","2019-2020","Male","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2009-2010","Female","Suspensions","Percent","7.3"
